,depth,temp,salinity,EC,EC25,Density,sigmaT,Chl-Flu,Chl-a,dakudo,DO%,DOmg,V,No
52,0.2,5.133,0.0,-0.006,-11.148,999.965,-0.036,1.44,1.44,25.79,97.43,12.267,8.17,4.0
53,0.3,5.118,0.0,-0.009,-15.915,999.966,-0.035,3.09,3.09,13.73,97.2,12.241,8.2,4.0
54,0.4,5.144,0.0,-0.007,-12.178,999.966,-0.036,3.0,3.0,8.07,97.16,12.248,8.2,4.0
55,0.5,5.185,0.0,-0.009,-16.369,999.966,-0.036,2.98,2.98,7.31,97.26,12.268,8.19,4.0
56,0.6,5.245,0.0,-0.009,-15.927,999.965,-0.038,3.0,3.0,7.25,97.34,12.282,8.2,4.0
57,0.7,5.284,0.0,-0.003,-5.562,999.965,-0.038,3.01,3.01,7.14,97.39,12.29,8.19,4.0
58,0.8,5.306,0.0,-0.003,-6.103,999.965,-0.039,3.0,3.0,7.08,97.49,12.303,8.19,4.0
59,0.9,5.321,0.0,-0.006,-9.854,999.965,-0.039,2.97,2.97,7.05,97.66,12.325,8.2,4.0
60,1.0,5.329,0.0,-0.004,-7.302,999.966,-0.039,2.98,2.98,6.98,97.75,12.338,8.18,4.0
61,0.0,4.662,0.0,-0.008,-13.687,999.971,-0.029,-0.15,-0.15,-0.11,94.72,11.871,8.26,5.0
62,0.1,4.439,0.002,0.001,2.128,999.975,-0.025,-0.28,-0.28,22.94,95.71,12.094,8.17,5.0
63,0.0,4.521,0.0,-0.007,-12.806,999.973,-0.027,10.59,10.59,2.03,95.46,12.072,8.25,6.0
64,0.1,4.787,0.614,0.759,1366.631,1000.463,0.463,3.47,3.47,98.83,96.23,12.101,8.16,6.0
65,0.0,6.22,0.303,0.401,683.608,1000.178,0.178,2.86,2.86,7.31,111.78,13.855,8.25,7.0
66,0.1,5.662,0.303,0.395,687.514,1000.196,0.196,6.69,6.69,34.56,111.7,13.96,8.17,7.0
67,0.0,7.008,0.304,0.411,679.871,1000.146,0.146,3.34,3.34,8.07,115.73,14.0,8.25,8.0
68,0.1,6.953,0.304,0.41,680.6,1000.149,0.149,13.21,13.21,82.87,116.89,14.145,8.18,8.0
69,0.0,5.528,0.526,0.669,1169.615,1000.377,0.377,3.37,3.37,6.95,102.57,12.851,8.25,9.0
70,0.1,5.555,0.303,0.394,688.53,1000.199,0.199,3.85,3.85,7.8,107.28,13.459,8.16,9.0
71,0.2,5.54,0.303,0.394,688.303,1000.2,0.199,5.86,5.86,18.64,107.42,13.483,8.16,9.0
72,0.3,5.556,0.303,0.394,688.655,1000.2,0.199,13.33,13.33,107.79,108.02,13.563,8.15,9.0
73,0.4,5.547,0.303,0.393,687.592,1000.2,0.198,9.8,9.8,92.65,108.39,13.604,8.16,9.0
74,0.0,5.975,0.303,0.398,684.474,1000.186,0.186,2.89,2.89,6.91,111.3,13.806,8.26,10.0
75,0.1,5.809,0.303,0.396,686.234,1000.192,0.191,3.48,3.48,7.43,110.81,13.804,8.15,10.0
76,0.2,5.726,0.304,0.396,687.902,1000.195,0.194,4.54,4.54,7.69,111.08,13.851,8.16,10.0
77,0.3,5.553,0.302,0.392,685.098,1000.199,0.197,4.78,4.78,7.74,110.77,13.92,8.16,10.0
78,0.4,5.312,0.303,0.391,689.989,1000.206,0.204,4.83,4.83,7.57,110.34,13.95,8.16,10.0
79,0.5,5.287,0.303,0.39,689.102,1000.207,0.204,6.12,6.12,9.63,109.94,13.913,8.16,10.0
80,0.6,5.253,0.304,0.391,691.773,1000.209,0.206,6.4,6.4,11.93,109.93,13.894,8.15,10.0
81,0.7,5.23,0.303,0.39,689.461,1000.209,0.206,6.62,6.62,13.73,109.89,13.919,8.16,10.0
82,0.8,5.225,0.304,0.392,693.103,1000.211,0.207,6.4,6.4,14.31,109.63,13.891,8.17,10.0
83,0.9,5.323,0.303,0.391,688.985,1000.208,0.204,6.31,6.31,13.74,109.76,13.853,8.16,10.0
84,1.0,5.316,0.303,0.391,688.972,1000.209,0.204,6.95,6.95,16.15,109.77,13.856,8.16,10.0
85,1.1,5.181,0.301,0.387,686.684,1000.211,0.205,10.31,10.31,24.99,109.89,13.946,8.16,10.0
86,1.2,5.09,0.303,0.389,691.888,1000.215,0.209,8.79,8.79,20.66,109.47,13.922,8.17,10.0
87,1.3,5.066,0.303,0.389,692.126,1000.216,0.209,11.5,11.5,23.86,109.08,13.871,8.16,10.0
88,0.0,6.041,0.303,0.399,684.377,1000.184,0.184,3.15,3.15,6.9,112.65,13.957,8.24,11.0
89,0.1,6.049,0.303,0.399,684.254,1000.184,0.184,3.35,3.35,7.16,113.34,14.047,8.16,11.0
90,0.2,5.975,0.303,0.398,684.315,1000.187,0.186,3.55,3.55,7.04,112.99,14.031,8.16,11.0
91,0.3,5.921,0.303,0.398,685.37,1000.189,0.188,3.76,3.76,7.01,112.99,14.043,8.16,11.0
92,0.4,5.866,0.303,0.397,685.054,1000.191,0.189,4.45,4.45,7.29,113.08,14.089,8.16,11.0
93,0.5,5.671,0.302,0.394,684.833,1000.197,0.194,6.1,6.1,10.79,112.94,14.14,8.16,11.0
94,0.6,5.599,0.303,0.393,686.343,1000.2,0.197,7.16,7.16,13.22,112.63,14.125,8.16,11.0
95,0.7,5.482,0.302,0.392,686.497,1000.203,0.199,9.42,9.42,18.78,112.13,14.108,8.17,11.0
96,0.8,5.445,0.303,0.392,687.59,1000.205,0.201,8.97,8.97,16.96,111.73,14.066,8.14,11.0
97,0.9,5.423,0.303,0.392,688.022,1000.206,0.201,8.68,8.68,16.39,111.75,14.073,8.17,11.0
98,1.0,5.406,0.303,0.391,687.832,1000.206,0.202,8.86,8.86,14.05,111.59,14.058,8.16,11.0
99,1.1,5.384,0.302,0.391,687.566,1000.207,0.202,9.71,9.71,12.52,111.58,14.065,8.17,11.0
100,0.0,5.996,0.304,0.399,685.636,1000.186,0.186,2.91,2.91,6.5,109.92,13.649,8.24,12.0
101,0.1,6.02,0.303,0.399,684.934,1000.185,0.185,2.91,2.91,7.07,110.16,13.665,8.17,12.0
102,0.2,5.946,0.303,0.398,684.432,1000.188,0.187,3.33,3.33,6.94,110.44,13.73,8.17,12.0
103,0.3,5.808,0.303,0.396,685.695,1000.193,0.191,3.89,3.89,7.04,110.23,13.748,8.15,12.0
104,0.4,5.762,0.303,0.396,686.86,1000.195,0.193,4.31,4.31,7.11,110.09,13.742,8.16,12.0
105,0.5,5.729,0.303,0.396,687.306,1000.196,0.194,5.44,5.44,10.66,109.84,13.718,8.15,12.0
106,0.6,5.717,0.303,0.395,686.79,1000.197,0.194,9.35,9.35,29.49,109.9,13.727,8.16,12.0
107,0.7,5.713,0.303,0.395,686.83,1000.198,0.194,17.54,17.54,75.56,109.94,13.733,8.17,12.0
108,0.8,5.704,0.303,0.395,686.407,1000.198,0.194,15.62,15.62,60.68,109.87,13.732,8.17,12.0
109,0.0,5.797,0.0,-0.004,-7.457,999.949,-0.051,-0.11,-0.11,-0.04,106.06,13.262,8.24,13.0
110,0.1,5.246,0.544,0.684,1210.348,1000.399,0.398,1.7,1.7,4.86,96.95,12.136,8.16,13.0
111,0.2,5.341,0.0,-0.001,-1.956,999.961,-0.04,2.49,2.49,6.29,96.43,12.125,8.15,13.0
112,0.3,5.353,0.0,-0.005,-8.023,999.962,-0.04,2.6,2.6,6.29,96.46,12.121,8.16,13.0
113,0.4,5.355,0.007,0.008,14.347,999.968,-0.034,2.58,2.58,6.25,96.83,12.16,8.15,13.0
114,0.5,5.787,0.13,0.175,302.847,1000.056,0.054,-4.16,-4.16,2.13,105.56,13.156,8.15,13.0
115,0.6,5.841,0.303,0.397,686.073,1000.193,0.19,4.06,4.06,6.9,109.37,13.625,8.16,13.0
116,0.7,5.835,0.303,0.397,686.191,1000.194,0.191,4.41,4.41,6.97,109.54,13.647,8.15,13.0
117,0.8,5.815,0.303,0.397,686.277,1000.195,0.191,4.98,4.98,10.91,109.41,13.639,8.15,13.0
118,0.9,5.829,0.294,0.385,665.276,1000.188,0.183,0.93,0.93,11.89,109.63,13.649,8.16,13.0
119,0.0,6.078,0.303,0.4,684.9,1000.183,0.183,2.7,2.7,6.52,109.76,13.586,8.25,14.0
120,0.1,6.104,0.304,0.4,685.301,1000.183,0.182,2.86,2.86,7.15,109.67,13.56,8.15,14.0
121,0.2,6.099,0.304,0.4,684.912,1000.183,0.182,3.08,3.08,6.69,109.9,13.598,8.15,14.0
122,0.3,5.961,0.304,0.399,686.271,1000.189,0.187,3.98,3.98,6.94,110.18,13.683,8.15,14.0
123,0.4,5.897,0.303,0.397,684.095,1000.19,0.188,4.74,4.74,8.81,109.68,13.652,8.17,14.0
