,depth,temp,salinity,EC,EC25,Density,sigmaT,Chl-Flu,Chl-a,dakudo,DO%,DOmg,V,No
230,0.2,5.268,0.074,0.099,175.346,1000.022,0.021,16.67,16.67,46.73,137.18,17.39,8.13,28.0
231,0.3,5.222,0.074,0.099,175.414,1000.024,0.022,21.7,21.7,72.36,137.32,17.409,8.12,28.0
232,0.4,5.189,0.074,0.099,175.875,1000.025,0.023,27.39,27.39,83.38,137.35,17.439,8.14,28.0
233,0.5,5.21,0.074,0.099,175.087,1000.025,0.022,41.29,41.29,144.77,137.22,17.415,8.14,28.0
234,0.6,5.223,0.013,0.016,29.184,999.976,-0.027,46.28,46.28,-7.9,136.52,17.273,8.13,28.0
235,0.7,5.179,0.0,-0.012,-21.519,999.967,-0.036,6.65,6.65,54.23,136.69,17.309,8.12,28.0
236,0.8,5.118,0.031,0.042,75.027,999.994,-0.01,22.55,22.55,46.8,134.85,17.054,8.11,28.0
237,0.0,5.439,0.074,0.1,176.195,1000.018,0.018,5.51,5.51,7.91,137.39,17.321,8.21,29.0
238,0.1,5.186,0.074,0.099,176.1,1000.023,0.023,10.03,10.03,15.43,137.12,17.403,8.11,29.0
239,0.2,5.122,0.074,0.1,176.872,1000.025,0.024,22.61,22.61,49.37,136.88,17.415,8.11,29.0
240,0.3,4.94,0.075,0.1,178.663,1000.029,0.028,22.6,22.6,61.32,136.48,17.389,8.11,29.0
241,0.4,5.116,0.074,0.099,176.539,1000.026,0.024,22.47,22.47,64.16,136.71,17.382,8.13,29.0
242,0.5,5.145,0.074,0.099,176.665,1000.026,0.024,62.52,62.52,355.62,137.07,17.405,8.13,29.0
243,0.0,5.437,0.073,0.099,172.925,1000.017,0.017,6.34,6.34,8.5,137.5,17.356,8.22,30.0
244,0.1,5.349,0.074,0.099,174.919,1000.02,0.019,8.32,8.32,9.11,137.07,17.337,8.13,30.0
245,0.2,5.18,0.074,0.1,176.744,1000.024,0.023,11.91,11.91,10.45,136.78,17.343,8.13,30.0
246,0.3,5.053,0.075,0.101,179.46,1000.028,0.026,35.39,35.39,71.8,136.56,17.379,8.13,30.0
247,0.4,4.914,0.075,0.1,178.435,1000.03,0.028,55.83,55.83,136.78,136.46,17.456,8.12,30.0
248,0.5,4.905,0.074,0.099,177.163,1000.03,0.028,63.45,63.45,173.33,135.51,17.305,8.12,30.0
249,0.6,4.964,0.074,0.099,176.792,1000.03,0.027,48.88,48.88,137.6,136.18,17.358,8.13,30.0
250,0.0,5.059,0.073,0.097,173.364,1000.024,0.024,12.78,12.78,12.02,136.11,17.31,8.2,31.0
251,0.1,5.129,0.073,0.097,172.851,1000.023,0.023,14.81,14.81,15.07,136.6,17.322,8.12,31.0
252,0.2,5.085,0.073,0.098,174.232,1000.025,0.024,15.7,15.7,15.5,136.87,17.42,8.12,31.0
253,0.3,5.044,0.073,0.098,174.516,1000.026,0.025,17.8,17.8,16.21,136.38,17.35,8.13,31.0
254,0.4,5.036,0.073,0.098,174.487,1000.027,0.025,13.7,13.7,16.59,136.19,17.34,8.12,31.0
255,0.5,5.09,0.073,0.098,173.951,1000.026,0.024,30.98,30.98,62.84,136.06,17.292,8.12,31.0
256,0.6,5.033,0.074,0.099,176.72,1000.029,0.026,50.74,50.74,162.43,136.3,17.369,8.12,31.0
257,0.7,4.963,0.074,0.099,177.479,1000.031,0.027,48.64,48.64,170.33,136.09,17.37,8.12,31.0
258,0.0,5.237,0.073,0.098,172.973,1000.021,0.021,6.13,6.13,7.84,136.07,17.24,8.2,32.0
259,0.1,5.22,0.073,0.097,172.582,1000.022,0.021,9.21,9.21,10.38,136.28,17.269,8.12,32.0
260,0.2,5.053,0.074,0.099,175.753,1000.026,0.025,17.21,17.21,18.75,136.73,17.43,8.13,32.0
261,0.3,4.938,0.074,0.099,177.131,1000.029,0.027,28.09,28.09,50.9,135.67,17.326,8.12,32.0
262,0.4,4.913,0.074,0.099,177.979,1000.03,0.028,21.47,21.47,25.82,135.36,17.288,8.12,32.0
263,0.5,4.897,0.074,0.099,177.094,1000.03,0.028,68.61,68.61,44.86,135.16,17.241,8.11,32.0
264,0.6,4.953,0.074,0.099,176.46,1000.03,0.027,20.01,20.01,33.84,135.35,17.265,8.12,32.0
265,0.7,4.994,0.074,0.098,175.778,1000.03,0.026,26.11,26.11,47.0,135.63,17.299,8.12,32.0
266,0.8,4.92,0.074,0.099,176.791,1000.031,0.028,53.59,53.59,149.5,135.6,17.313,8.12,32.0
267,0.0,5.383,0.074,0.1,175.465,1000.019,0.019,8.42,8.42,12.14,135.37,17.1,8.21,33.0
268,0.1,5.242,0.074,0.1,176.119,1000.022,0.022,8.23,8.23,12.48,136.6,17.308,8.14,33.0
269,0.2,5.351,0.074,0.1,175.274,1000.02,0.019,10.99,10.99,14.71,136.12,17.178,8.12,33.0
270,0.3,5.228,0.074,0.099,175.779,1000.024,0.022,14.95,14.95,24.97,136.71,17.291,8.12,33.0
271,0.4,5.16,0.074,0.099,176.211,1000.025,0.023,14.22,14.22,25.76,136.48,17.323,8.12,33.0
272,0.5,5.163,0.074,0.099,175.859,1000.026,0.023,15.66,15.66,29.23,136.26,17.307,8.11,33.0
273,0.6,4.993,0.074,0.099,176.398,1000.029,0.026,28.27,28.27,69.48,136.36,17.4,8.12,33.0
274,0.7,4.899,0.074,0.099,176.751,1000.031,0.028,38.69,38.69,142.86,135.85,17.386,8.12,33.0
275,0.8,5.13,0.016,0.022,38.605,999.982,-0.022,24.67,24.67,75.33,151.74,19.289,8.12,33.0
276,0.0,5.369,0.074,0.1,175.857,1000.019,0.019,8.69,8.69,13.97,137.36,17.337,8.2,34.0
277,0.1,5.382,0.074,0.1,175.959,1000.02,0.019,8.74,8.74,8.66,137.38,17.325,8.12,34.0
278,0.2,5.358,0.074,0.1,176.119,1000.021,0.02,10.11,10.11,8.56,137.59,17.376,8.11,34.0
279,0.3,5.246,0.074,0.099,175.318,1000.023,0.022,13.73,13.73,8.77,137.63,17.439,8.11,34.0
280,0.4,5.106,0.074,0.099,175.726,1000.026,0.024,18.29,18.29,17.12,137.0,17.419,8.12,34.0
281,0.5,5.071,0.074,0.099,176.385,1000.028,0.025,20.0,20.0,32.99,136.71,17.382,8.11,34.0
282,0.6,5.074,0.074,0.099,176.511,1000.028,0.025,21.62,21.62,37.84,136.59,17.395,8.12,34.0
283,0.7,5.08,0.074,0.099,176.068,1000.028,0.025,21.28,21.28,47.92,136.64,17.401,8.11,34.0
284,0.8,5.297,0.0,-0.009,-15.762,999.965,-0.039,12.38,12.38,15.71,137.75,17.425,8.11,34.0
285,0.9,5.294,0.0,-0.007,-11.744,999.966,-0.039,11.83,11.83,15.43,137.9,17.444,8.11,34.0
286,0.0,5.506,0.075,0.101,176.657,1000.017,0.017,6.43,6.43,9.43,137.55,17.31,8.2,35.0
287,0.1,5.398,0.074,0.1,176.526,1000.019,0.019,7.45,7.45,8.88,137.38,17.337,8.11,35.0
288,0.2,5.383,0.074,0.1,175.624,1000.02,0.019,8.31,8.31,8.35,137.3,17.332,8.11,35.0
289,0.3,5.169,0.074,0.099,175.699,1000.025,0.023,11.16,11.16,9.77,137.34,17.448,8.12,35.0
290,0.4,5.088,0.074,0.099,176.051,1000.027,0.025,13.37,13.37,14.08,136.89,17.428,8.11,35.0
291,0.5,5.007,0.074,0.099,176.578,1000.029,0.026,36.7,36.7,161.18,136.4,17.364,8.12,35.0
292,0.6,5.102,0.074,0.099,175.243,1000.027,0.024,36.82,36.82,304.72,136.32,17.315,8.1,35.0
293,0.0,5.199,0.073,0.099,174.818,1000.022,0.022,7.14,7.14,7.18,136.46,17.306,8.18,36.0
294,0.1,5.191,0.073,0.099,174.609,1000.023,0.022,8.65,8.65,11.18,136.44,17.306,8.11,36.0
295,0.2,5.177,0.073,0.098,174.306,1000.023,0.023,14.15,14.15,19.72,136.71,17.364,8.11,36.0
296,0.3,4.932,0.074,0.099,176.457,1000.029,0.027,12.82,12.82,15.71,136.78,17.396,8.11,36.0
297,0.4,4.818,0.074,0.098,176.97,1000.031,0.029,23.06,23.06,45.69,136.54,17.507,8.12,36.0
298,0.5,4.732,0.074,0.098,177.313,1000.033,0.03,25.54,25.54,70.13,135.28,17.359,8.11,36.0
299,0.6,4.773,0.074,0.099,177.605,1000.033,0.03,25.41,25.41,78.22,135.48,17.377,8.11,36.0
300,0.7,4.734,0.0,-0.012,-20.919,999.974,-0.03,63.16,63.16,127.33,136.14,17.345,8.11,36.0
301,0.8,4.86,0.048,0.064,115.505,1000.011,0.007,27.47,27.47,54.36,136.06,17.33,8.11,36.0
302,0.9,5.009,0.017,0.022,39.984,999.984,-0.02,15.47,15.47,37.64,134.19,17.082,8.1,36.0
303,0.0,5.092,0.074,0.099,176.557,1000.025,0.025,11.51,11.51,25.92,135.94,17.279,8.18,37.0
304,0.1,5.183,0.074,0.099,176.32,1000.024,0.023,11.72,11.72,23.37,136.92,17.381,8.11,37.0
305,0.2,5.02,0.074,0.099,176.336,1000.027,0.026,18.59,18.59,46.1,136.11,17.323,8.12,37.0
306,0.3,4.941,0.074,0.099,176.869,1000.029,0.027,20.31,20.31,66.5,136.16,17.38,8.11,37.0
307,0.4,4.941,0.074,0.099,177.073,1000.029,0.027,25.56,25.56,96.97,136.29,17.399,8.08,37.0
308,0.5,4.902,0.074,0.099,176.761,1000.03,0.028,26.83,26.83,156.07,136.15,17.398,8.12,37.0
309,0.6,4.878,0.074,0.098,176.065,1000.031,0.028,27.67,27.67,113.8,135.67,17.349,8.08,37.0
310,0.0,5.449,0.076,0.102,179.497,1000.019,0.019,6.99,6.99,7.71,139.4,17.548,8.21,38.0
311,0.1,5.306,0.076,0.102,179.808,1000.022,0.022,7.21,7.21,8.22,139.22,17.574,8.12,38.0
312,0.2,5.154,0.075,0.101,179.095,1000.026,0.025,8.86,8.86,8.02,138.56,17.637,8.11,38.0
313,0.3,4.909,0.075,0.1,180.026,1000.03,0.029,11.22,11.22,9.42,137.74,17.584,8.12,38.0
314,0.4,4.869,0.075,0.1,180.061,1000.031,0.029,16.31,16.31,18.55,137.88,17.571,8.11,38.0
315,0.5,4.825,0.075,0.1,179.772,1000.032,0.03,31.91,31.91,167.36,137.57,17.598,8.11,38.0
316,0.0,4.961,0.076,0.101,180.881,1000.028,0.028,7.67,7.67,9.09,136.39,17.407,8.18,39.0
317,0.1,4.919,0.076,0.101,180.52,1000.029,0.029,9.27,9.27,11.2,136.19,17.408,8.12,39.0
318,0.2,4.924,0.076,0.101,180.381,1000.03,0.029,10.64,10.64,18.33,136.15,17.4,8.1,39.0
319,0.3,4.89,0.075,0.101,180.28,1000.031,0.029,10.61,10.61,13.87,136.07,17.388,8.11,39.0
320,0.4,4.76,0.075,0.1,179.771,1000.033,0.031,19.58,19.58,52.27,136.28,17.463,8.11,39.0
321,0.5,4.734,0.075,0.1,180.022,1000.033,0.031,29.05,29.05,145.15,135.85,17.424,8.11,39.0
322,0.0,4.761,0.075,0.099,178.908,1000.03,0.03,11.79,11.79,31.16,135.64,17.398,8.18,40.0
323,0.1,4.772,0.075,0.099,178.93,1000.031,0.03,14.94,14.94,39.93,135.68,17.394,8.1,40.0
324,0.2,4.711,0.075,0.099,179.025,1000.032,0.031,12.78,12.78,33.41,135.41,17.385,8.11,40.0
325,0.3,4.74,0.075,0.099,179.121,1000.032,0.031,14.11,14.11,32.22,135.27,17.345,8.11,40.0
326,0.4,4.718,0.075,0.099,178.746,1000.033,0.031,16.82,16.82,50.1,135.58,17.397,8.07,40.0
327,0.5,4.677,0.075,0.099,178.959,1000.034,0.031,19.21,19.21,63.21,135.33,17.394,8.1,40.0
328,0.6,4.641,0.11,0.143,259.868,1000.063,0.06,15.69,15.69,61.78,135.68,17.413,8.11,40.0
329,0.7,4.684,0.0,-0.011,-19.317,999.975,-0.029,13.52,13.52,38.32,135.5,17.401,8.11,40.0
330,0.8,4.697,0.0,-0.006,-10.216,999.975,-0.029,13.81,13.81,35.18,135.43,17.39,8.08,40.0
331,0.0,5.013,0.074,0.099,176.465,1000.026,0.026,9.05,9.05,10.86,136.13,17.34,8.18,41.0
332,0.1,5.04,0.074,0.099,176.806,1000.026,0.026,8.18,8.18,9.69,136.02,17.318,8.1,41.0
333,0.2,5.004,0.074,0.099,177.119,1000.027,0.026,9.51,9.51,8.7,135.95,17.317,8.11,41.0
334,0.3,4.923,0.074,0.099,177.704,1000.029,0.028,11.24,11.24,9.9,136.04,17.385,8.11,41.0
335,0.4,4.985,0.074,0.099,177.024,1000.029,0.027,12.78,12.78,9.49,135.67,17.297,8.11,41.0
336,0.5,4.987,0.074,0.099,177.248,1000.029,0.027,19.28,19.28,13.81,135.86,17.331,8.11,41.0
337,0.6,4.764,0.075,0.099,178.778,1000.033,0.03,39.18,39.18,196.59,136.05,17.469,8.11,41.0
338,0.7,4.719,0.075,0.099,179.603,1000.034,0.031,36.46,36.46,192.18,135.43,17.391,8.11,41.0
339,0.0,4.884,0.075,0.1,179.22,1000.029,0.029,7.95,7.95,11.73,135.83,17.363,8.18,42.0
340,0.1,4.834,0.075,0.1,180.434,1000.03,0.03,7.07,7.07,7.49,135.68,17.358,8.1,42.0
341,0.2,4.843,0.075,0.1,180.042,1000.031,0.03,9.2,9.2,8.38,135.72,17.367,8.1,42.0
342,0.3,4.824,0.075,0.1,179.974,1000.031,0.03,13.57,13.57,9.14,135.77,17.383,8.09,42.0
343,0.4,4.813,0.075,0.1,179.75,1000.032,0.03,17.37,17.37,18.33,135.59,17.366,8.1,42.0
344,0.0,4.638,0.075,0.1,180.565,1000.032,0.032,10.72,10.72,28.3,134.8,17.341,8.18,43.0
345,0.1,4.606,0.003,0.003,5.692,999.975,-0.026,7.08,7.08,7.12,135.44,17.433,8.11,43.0
346,0.2,4.598,0.006,0.008,14.484,999.978,-0.023,7.19,7.19,7.07,135.23,17.409,8.09,43.0
347,0.3,4.572,0.0,-0.009,-15.662,999.974,-0.028,7.25,7.25,7.26,135.56,17.454,8.1,43.0
348,0.4,4.42,0.034,0.045,83.14,1000.003,0.001,6.69,6.69,7.59,134.48,17.426,8.1,43.0
349,0.0,4.404,0.075,0.099,180.405,1000.034,0.034,12.61,12.61,34.47,133.75,17.312,8.18,44.0
350,0.1,4.451,0.075,0.099,180.477,1000.034,0.034,14.48,14.48,57.45,133.78,17.294,8.1,44.0
351,0.2,4.451,0.075,0.099,180.207,1000.035,0.034,16.18,16.18,76.9,133.96,17.321,8.11,44.0
352,0.0,4.463,0.076,0.1,181.628,1000.034,0.034,7.28,7.28,7.57,134.08,17.331,8.18,45.0
353,0.1,4.464,0.075,0.099,181.169,1000.034,0.034,8.99,8.99,8.69,134.77,17.414,8.1,45.0
354,0.2,4.471,0.075,0.099,181.321,1000.035,0.034,13.97,13.97,35.11,134.87,17.428,8.1,45.0
355,0.3,4.484,0.075,0.1,181.371,1000.035,0.034,12.68,12.68,32.79,134.85,17.419,8.1,45.0
356,0.0,4.195,0.075,0.098,181.384,1000.035,0.035,7.04,7.04,7.29,133.44,17.363,8.18,46.0
357,0.1,4.212,0.075,0.098,181.435,1000.036,0.035,9.85,9.85,8.49,132.99,17.284,8.1,46.0
358,0.2,4.237,0.075,0.099,181.617,1000.036,0.035,11.03,11.03,7.8,133.41,17.334,8.09,46.0
359,0.3,4.27,0.075,0.099,181.451,1000.036,0.035,14.58,14.58,8.56,133.33,17.321,8.1,46.0
360,0.4,4.262,0.075,0.099,181.538,1000.037,0.035,19.4,19.4,9.56,133.35,17.32,8.09,46.0
361,0.5,4.269,0.075,0.099,181.35,1000.037,0.035,19.96,19.96,12.51,133.5,17.339,8.09,46.0
362,0.6,4.222,0.075,0.098,180.645,1000.038,0.035,28.34,28.34,108.76,133.51,17.355,8.1,46.0
363,0.0,4.028,0.075,0.097,180.901,1000.035,0.035,9.63,9.63,8.35,132.57,17.327,8.18,47.0
364,0.1,4.029,0.075,0.098,181.049,1000.036,0.035,10.36,10.36,8.16,132.52,17.323,8.1,47.0
365,0.2,4.028,0.075,0.097,180.989,1000.036,0.035,9.93,9.93,7.99,132.54,17.328,8.1,47.0
366,0.3,4.019,0.075,0.097,180.909,1000.037,0.035,14.07,14.07,13.05,132.42,17.311,8.09,47.0
367,0.4,4.013,0.075,0.098,181.519,1000.037,0.035,27.06,27.06,37.02,132.47,17.319,8.09,47.0
368,0.5,4.007,0.075,0.097,181.141,1000.038,0.035,21.61,21.61,19.11,132.61,17.339,8.07,47.0
369,0.6,4.004,0.075,0.097,181.131,1000.038,0.035,21.76,21.76,11.22,132.63,17.344,8.1,47.0
370,0.7,4.007,0.075,0.098,181.185,1000.039,0.035,33.95,33.95,58.19,132.34,17.305,8.09,47.0
371,0.8,4.033,0.075,0.098,181.02,1000.039,0.035,334.66,334.66,921.96,132.63,17.32,8.1,47.0
372,0.9,4.006,0.003,0.003,5.088,999.982,-0.023,10.7,10.7,14.34,140.61,18.385,8.1,47.0
373,0.0,3.967,0.075,0.097,181.129,1000.035,0.035,8.78,8.78,7.02,132.3,17.312,8.18,48.0
374,0.1,3.94,0.075,0.097,181.123,1000.036,0.035,11.29,11.29,7.63,132.06,17.31,8.1,48.0
375,0.2,3.926,0.075,0.097,181.225,1000.036,0.035,12.88,12.88,7.61,132.17,17.325,8.11,48.0
376,0.3,3.936,0.075,0.097,181.189,1000.037,0.035,21.98,21.98,10.96,132.36,17.345,8.1,48.0
377,0.4,3.934,0.075,0.097,181.267,1000.037,0.035,22.88,22.88,11.48,132.43,17.355,8.12,48.0
378,0.5,3.93,0.075,0.097,181.366,1000.038,0.035,24.59,24.59,16.88,132.5,17.367,8.1,48.0
379,0.6,3.933,0.075,0.097,181.52,1000.038,0.035,26.32,26.32,28.15,132.19,17.323,8.08,48.0
380,0.7,3.936,0.075,0.097,181.467,1000.039,0.035,27.92,27.92,41.18,132.4,17.348,8.1,48.0
381,0.8,3.94,0.075,0.097,181.223,1000.039,0.035,42.2,42.2,114.58,132.24,17.321,8.09,48.0
382,0.0,3.921,0.075,0.097,181.083,1000.035,0.035,6.52,6.52,6.88,131.95,17.296,8.17,49.0
383,0.1,3.919,0.074,0.097,180.825,1000.036,0.035,6.86,6.86,7.32,132.21,17.332,8.12,49.0
384,0.2,3.923,0.075,0.097,181.107,1000.036,0.035,9.54,9.54,7.59,132.07,17.314,8.11,49.0
385,0.3,3.891,0.074,0.097,180.857,1000.037,0.035,12.44,12.44,8.26,132.04,17.311,8.11,49.0
386,0.4,3.879,0.075,0.097,181.044,1000.037,0.035,15.38,15.38,8.02,131.97,17.313,8.11,49.0
387,0.5,3.886,0.075,0.097,181.915,1000.038,0.035,21.3,21.3,9.98,132.03,17.323,8.09,49.0
388,0.6,3.945,0.075,0.098,182.348,1000.039,0.036,24.69,24.69,15.36,132.02,17.288,8.09,49.0
389,0.7,3.967,0.076,0.099,184.412,1000.04,0.036,34.25,34.25,47.73,132.32,17.324,8.07,49.0
390,0.8,3.996,0.076,0.099,183.663,1000.04,0.036,35.33,35.33,43.14,132.2,17.304,8.1,49.0
391,0.9,3.902,0.08,0.104,193.647,1000.044,0.04,9.42,9.42,21.56,134.42,17.619,8.09,49.0
392,0.0,4.174,0.076,0.099,182.555,1000.036,0.036,7.29,7.29,11.15,125.04,16.283,8.17,50.0
393,0.0,4.917,0.094,0.124,222.612,1000.043,0.043,38.31,38.31,279.33,136.8,17.472,8.2,51.0
394,0.1,4.903,0.245,0.315,565.2,1000.166,0.165,39.19,39.19,250.15,136.45,17.411,8.18,51.0
395,0.2,4.885,0.006,0.007,11.672,999.974,-0.027,39.52,39.52,244.39,136.83,17.485,8.16,51.0
396,0.3,4.9,0.0,-0.01,-18.12,999.97,-0.032,35.44,35.44,193.39,137.07,17.518,8.16,51.0
397,0.4,4.912,0.0,-0.012,-20.974,999.97,-0.032,31.05,31.05,156.79,136.94,17.504,8.16,51.0
398,0.5,4.91,0.0,-0.01,-17.403,999.971,-0.032,29.23,29.23,136.54,136.77,17.484,8.16,51.0
399,0.6,4.896,0.0,-0.009,-16.033,999.971,-0.032,25.8,25.8,104.56,136.98,17.511,8.17,51.0
400,0.7,4.885,0.0,-0.009,-16.966,999.972,-0.032,19.88,19.88,70.3,137.1,17.531,8.14,51.0
401,0.0,4.046,0.075,0.098,182.425,1000.036,0.036,6.65,6.65,8.88,127.43,16.657,8.17,52.0
402,0.1,4.025,0.034,0.045,83.538,1000.003,0.002,6.53,6.53,7.43,129.38,16.929,8.12,52.0
403,0.2,4.024,0.0,-0.001,-1.176,999.976,-0.025,6.49,6.49,7.59,129.87,16.995,8.1,52.0
404,0.3,4.027,0.0,-0.003,-6.253,999.976,-0.025,6.66,6.66,7.84,130.05,17.015,8.1,52.0
405,0.4,4.031,0.003,0.003,5.536,999.979,-0.023,19.55,19.55,15.73,129.62,16.956,8.08,52.0
406,0.5,4.014,19.665,19.267,35792.312,1015.613,15.61,9.63,9.63,221.87,129.85,14.912,8.11,52.0
407,0.0,3.942,0.075,0.098,182.476,1000.036,0.036,6.28,6.28,7.5,132.41,17.344,8.17,53.0
408,0.1,4.001,0.075,0.098,181.668,1000.036,0.036,7.5,7.5,8.45,132.47,17.334,8.09,53.0
409,0.2,3.898,0.075,0.097,181.399,1000.036,0.035,12.85,12.85,11.17,132.67,17.404,8.09,53.0
410,0.3,3.796,0.075,0.098,183.266,1000.037,0.036,28.64,28.64,60.55,132.61,17.442,8.1,53.0
411,0.4,3.839,0.075,0.097,182.371,1000.037,0.035,40.62,40.62,166.37,132.19,17.354,8.09,53.0
412,0.5,3.828,0.075,0.098,182.85,1000.038,0.036,45.46,45.46,244.59,132.27,17.361,8.1,53.0
413,0.0,3.945,0.075,0.097,181.403,1000.035,0.035,6.57,6.57,7.22,132.19,17.314,8.18,54.0
414,0.1,3.954,0.075,0.097,181.505,1000.036,0.035,6.95,6.95,7.98,132.13,17.305,8.1,54.0
415,0.2,3.941,0.075,0.097,181.291,1000.036,0.035,8.71,8.71,9.22,132.19,17.318,8.1,54.0
416,0.3,3.892,0.075,0.097,181.584,1000.037,0.035,12.6,12.6,8.95,132.18,17.343,8.1,54.0
417,0.4,3.9,0.075,0.097,181.528,1000.037,0.035,14.5,14.5,8.92,131.84,17.291,8.07,54.0
418,0.5,3.932,0.075,0.098,181.99,1000.038,0.036,18.4,18.4,8.43,131.96,17.301,8.11,54.0
419,0.6,3.919,0.075,0.097,181.529,1000.038,0.035,18.8,18.8,8.5,132.02,17.313,8.08,54.0
420,0.7,3.898,0.074,0.097,180.846,1000.039,0.035,23.83,23.83,8.94,131.98,17.323,8.09,54.0
421,0.8,3.823,0.075,0.097,181.701,1000.039,0.035,32.33,32.33,22.67,131.86,17.337,8.09,54.0
422,0.0,4.038,0.075,0.098,181.061,1000.035,0.035,6.61,6.61,7.91,132.4,17.31,8.17,55.0
423,0.1,4.019,0.075,0.097,180.893,1000.036,0.035,7.14,7.14,8.05,132.45,17.318,8.1,55.0
424,0.2,4.028,0.075,0.098,181.064,1000.036,0.035,8.65,8.65,7.7,132.42,17.313,8.1,55.0
425,0.3,4.011,0.074,0.097,180.488,1000.037,0.035,11.46,11.46,7.98,132.56,17.344,8.09,55.0
426,0.4,3.976,0.075,0.098,181.484,1000.037,0.035,14.55,14.55,8.26,132.37,17.331,8.07,55.0
427,0.5,3.933,0.075,0.097,180.991,1000.038,0.035,17.62,17.62,7.73,132.39,17.342,8.09,55.0
428,0.6,3.951,0.075,0.097,181.075,1000.038,0.035,19.74,19.74,7.95,132.22,17.315,8.09,55.0
429,0.7,3.964,0.075,0.097,180.975,1000.039,0.035,22.43,22.43,8.63,132.4,17.337,8.09,55.0
430,0.8,3.903,0.075,0.097,181.429,1000.039,0.035,26.03,26.03,9.21,132.41,17.35,8.07,55.0
431,0.9,3.908,0.075,0.097,181.403,1000.04,0.035,31.14,31.14,20.36,132.3,17.343,8.08,55.0
432,0.0,4.203,0.075,0.098,180.64,1000.035,0.035,8.78,8.78,7.0,133.77,17.409,8.16,56.0
433,0.1,4.238,0.075,0.098,180.111,1000.035,0.035,15.37,15.37,9.08,134.0,17.421,8.08,56.0
434,0.2,4.226,0.075,0.098,180.167,1000.036,0.035,17.06,17.06,8.42,134.0,17.43,8.07,56.0
435,0.3,4.21,0.075,0.098,180.483,1000.036,0.035,18.05,18.05,7.92,133.93,17.419,8.09,56.0
436,0.4,4.223,0.075,0.098,180.463,1000.037,0.035,19.71,19.71,10.25,133.86,17.417,8.08,56.0
437,0.5,4.226,0.075,0.098,180.233,1000.037,0.035,23.3,23.3,26.52,133.88,17.414,8.08,56.0
438,0.6,4.156,0.075,0.098,180.773,1000.038,0.035,95.42,95.42,471.11,133.91,17.444,8.08,56.0
439,0.7,4.209,1.161,1.371,2526.658,1000.91,0.907,6.82,6.82,4.56,134.52,17.322,8.09,56.0
440,0.0,4.323,0.075,0.098,180.279,1000.034,0.034,8.68,8.68,6.95,134.32,17.429,8.17,57.0
441,0.1,4.314,0.075,0.098,180.141,1000.035,0.034,9.71,9.71,8.11,134.39,17.437,8.1,57.0
442,0.2,4.306,0.075,0.098,180.372,1000.035,0.034,9.93,9.93,8.32,134.3,17.427,8.09,57.0
443,0.3,4.309,0.075,0.098,180.039,1000.036,0.034,10.89,10.89,9.08,134.43,17.449,8.1,57.0
444,0.4,4.297,0.075,0.098,180.471,1000.037,0.035,13.67,13.67,13.5,134.35,17.437,8.07,57.0
445,0.5,4.236,0.074,0.097,179.42,1000.037,0.034,19.71,19.71,22.2,134.32,17.445,8.07,57.0
446,0.6,4.205,0.075,0.098,180.601,1000.038,0.035,22.43,22.43,36.57,134.09,17.44,8.07,57.0
447,0.7,4.216,0.075,0.098,179.961,1000.038,0.035,30.46,30.46,87.4,134.2,17.453,8.08,57.0
448,0.8,4.204,0.074,0.097,179.337,1000.038,0.034,37.95,37.95,101.28,134.31,17.493,8.07,57.0
449,0.9,4.265,0.012,0.016,30.167,999.989,-0.016,9.14,9.14,9.28,135.44,17.583,8.08,57.0
450,0.0,4.466,0.075,0.099,180.611,1000.034,0.034,7.24,7.24,7.98,135.63,17.525,8.17,58.0
451,0.1,4.385,0.075,0.099,180.487,1000.035,0.034,18.62,18.62,28.48,135.2,17.503,8.08,58.0
452,0.2,4.386,0.075,0.099,180.79,1000.035,0.034,13.58,13.58,16.51,135.18,17.499,8.07,58.0
453,0.3,4.406,0.075,0.099,180.575,1000.035,0.034,17.46,17.46,18.35,135.45,17.522,8.08,58.0
454,0.4,4.407,0.075,0.099,180.708,1000.036,0.034,15.84,15.84,16.53,135.36,17.518,8.08,58.0
455,0.5,4.391,0.075,0.099,180.452,1000.037,0.034,26.12,26.12,62.72,135.35,17.528,8.09,58.0
456,0.6,4.371,0.075,0.098,180.272,1000.037,0.034,29.98,29.98,67.07,135.31,17.536,8.08,58.0
457,0.7,4.341,0.074,0.098,179.531,1000.037,0.034,33.56,33.56,97.48,135.05,17.516,8.08,58.0
458,0.8,4.317,0.075,0.098,179.686,1000.038,0.034,31.11,31.11,77.62,135.09,17.531,8.08,58.0
459,0.9,4.302,0.074,0.098,179.397,1000.039,0.034,40.67,40.67,137.66,135.01,17.529,8.07,58.0
460,0.0,4.554,0.075,0.099,180.613,1000.033,0.033,8.44,8.44,7.64,136.08,17.552,8.16,59.0
461,0.1,4.504,0.075,0.099,180.698,1000.034,0.033,10.77,10.77,9.16,136.22,17.589,8.08,59.0
462,0.2,4.482,0.075,0.099,180.601,1000.035,0.034,14.62,14.62,9.18,136.17,17.593,8.08,59.0
463,0.3,4.472,0.075,0.099,180.647,1000.035,0.034,17.98,17.98,8.6,136.09,17.587,8.08,59.0
464,0.4,4.482,0.075,0.099,180.508,1000.035,0.033,20.56,20.56,8.7,136.09,17.593,8.09,59.0
